     JOBID  PARTITION                                                                                                           NAME           STATE       TIME
      7060   scopion2          Spin15_L128_Jdis120_Dim011_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7061   scopion2          Spin15_L128_Jdis120_Dim013_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7062   scopion2          Spin15_L128_Jdis120_Dim015_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7063   scopion2          Spin15_L256_Jdis120_Dim001_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7064   scopion2          Spin15_L256_Jdis120_Dim003_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7065   scopion2          Spin15_L256_Jdis120_Dim005_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7066   scopion2          Spin15_L256_Jdis120_Dim007_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7067   scopion2          Spin15_L256_Jdis120_Dim009_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7068   scopion2          Spin15_L256_Jdis120_Dim011_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7069   scopion2          Spin15_L256_Jdis120_Dim013_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7070   scopion2          Spin15_L256_Jdis120_Dim015_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7071   scopion2          Spin15_L384_Jdis120_Dim001_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7072   scopion2          Spin15_L384_Jdis120_Dim003_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7073   scopion2          Spin15_L384_Jdis120_Dim005_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7074   scopion2          Spin15_L384_Jdis120_Dim007_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7075   scopion2          Spin15_L384_Jdis120_Dim009_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7076   scopion2          Spin15_L384_Jdis120_Dim011_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7077   scopion2          Spin15_L384_Jdis120_Dim013_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7078   scopion2          Spin15_L384_Jdis120_Dim015_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7079   scopion2          Spin15_L512_Jdis120_Dim001_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7080   scopion2          Spin15_L512_Jdis120_Dim003_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7081   scopion2          Spin15_L512_Jdis120_Dim005_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7082   scopion2          Spin15_L512_Jdis120_Dim007_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7083   scopion2          Spin15_L512_Jdis120_Dim009_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7084   scopion2          Spin15_L512_Jdis120_Dim011_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7085   scopion2          Spin15_L512_Jdis120_Dim013_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7086   scopion2          Spin15_L512_Jdis120_Dim015_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7059   scopion2          Spin15_L128_Jdis120_Dim009_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         RUNNING    3:36:51
      7058   scopion2          Spin15_L128_Jdis120_Dim007_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         RUNNING    4:51:11
      7055   scopion2          Spin15_L128_Jdis120_Dim001_P10_BC=PBC_chi40_partition=scopion2_seed1=1_seed2=10000_ds=100_task=submit         RUNNING 1-09:57:45
      7132   scopion2                                                                                                     s11_Cs_v8f    REQUEUE_HOLD       0:00
      7131   scopion2                                                                                                     s11_Cs_v8e    REQUEUE_HOLD       0:00
      7026   scopion3          Spin15_L128_Jdis100_Dim007_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit      COMPLETING   13:54:52
      7034   scopion3          Spin15_L256_Jdis100_Dim007_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7035   scopion3          Spin15_L256_Jdis100_Dim009_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7036   scopion3          Spin15_L256_Jdis100_Dim011_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7037   scopion3          Spin15_L256_Jdis100_Dim013_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7038   scopion3          Spin15_L256_Jdis100_Dim015_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7039   scopion3          Spin15_L384_Jdis100_Dim001_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7040   scopion3          Spin15_L384_Jdis100_Dim003_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7041   scopion3          Spin15_L384_Jdis100_Dim005_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7042   scopion3          Spin15_L384_Jdis100_Dim007_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7043   scopion3          Spin15_L384_Jdis100_Dim009_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
